project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description,all_issues,issues,buggy_issues
154304,Generic,https://github.com/ibireme/yykit.git,,,,13423,,,,,,,1,312,25,1373,1981,25,26,136408471,,,,,,,,"","","","",1080,540,540
124991,Generic,https://github.com/scala/scala.git,,,,13250,,,,,,,7,36376,643,27082,141071,553,658,552254753,,,,,,,,"","","","",18186,9093,9093
45023,Generic,https://github.com/orhanobut/logger.git,,,,12191,,,,,,,1,144,14,116,424,12,15,96456110,,,,,,,,"","","","",446,223,223
36344,Generic,https://github.com/tmrts/go-patterns.git,,,,11504,,,,,,,2,73,14,92,149,4,15,50330200,,,,,,,,"","","","",178,89,89
200595,Generic,https://github.com/flipboard/flex.git,,,,11491,,,,,,,2,958,87,1005,3482,51,91,195495251,,,,,,,,"","","","",724,362,362
32974,Generic,https://github.com/didi/doraemonkit.git,,,,11084,,,,,,,12,1749,122,7849,11598,95,123,62541204,,,,,,,,"","","","",1026,513,513
25373,Generic,https://github.com/restkit/restkit.git,,,,10987,,,,,,,17,3602,230,4167,13571,186,232,308725393,,,,,,,,"","","","",5136,2568,2568
32149,Generic,https://github.com/instagram/iglistkit.git,,,,10961,,,,,,,4,661,165,1147,5371,5,167,123446214,,,,,,,,"","","","",2524,1262,1262
51336,Generic,https://github.com/github/hubot.git,,,,10803,,,,,,,9,2202,311,211,2558,296,315,241042584,,,,,,,,"","","","",2738,1369,1369
5410,Generic,https://github.com/valvesoftware/proton.git,,,,10730,,,,,,,11,904,54,3452,5657,15,55,78553463,,,,,,,,"","","","",7314,3657,3657
