project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,forks,subscribers,language,heads,commits,authors,paths,snapshots,committers,users,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,master_branch,license,homepage,description,all_issues,issues,buggy_issues
16811,Generic,https://github.com/miraclestars/android_kernel_samsung_sm8250.git,,,,0,,,,,,,1,3717,1258,68341,72966,1,1258,89769740,,,,,,,,"","","","",0,0,0
13549,Generic,https://github.com/didntread/android_kernel_a7010a48.git,,,,1,,,,,,,2,3971,1249,55550,59104,4,1250,519218565,,,,,,,,"","","","",4,2,2
111561,Generic,https://github.com/svincen2/mix-machine.git,,,,0,,,,,,,3,25,1,22,99,1,1,2238628,,,,,,,,"","","","",0,0,0
158384,Generic,https://github.com/cocafe/xperia_z2_kernel_cocore-l.git,,,,0,,,,,,,5,6153,1679,42326,51374,2,1679,251705209,,,,,,,,"","","","",0,0,0
12237,Generic,https://github.com/itsanilsingh/android_kernel_samsung_logan2g.git,,,,1,,,,,,,1,3351,1137,39026,43116,1,1137,223992216,,,,,,,,"","","","",2,1,1
20127,Generic,https://github.com/xamarin/java.interop.git,,,,86,,,,,,,41,1158,39,2443,6544,21,41,208375635,,,,,,,,"","","","",1118,559,559
157451,Generic,https://github.com/artefvck/artefvck.git,,,,0,,,,,,,5,5176,1400,105309,54888,1,1400,456519696,,,,,,,,"","","","",0,0,0
79354,Generic,https://github.com/tkbeili/crud-gitcast.git,,,,0,,,,,,,2,42,1,96,137,1,1,28948645,,,,,,,,"","","","",0,0,0
78104,Generic,https://github.com/freerange/goos-ruby.git,,,,8,,,,,,,4,151,2,70,320,2,3,242598444,,,,,,,,"","","","",2,1,1
10570,Generic,https://github.com/schqiushui/kernel_sense_442_dlxwl.git,,,,0,,,,,,,1,73,49,40003,39814,2,49,69852093,,,,,,,,"","","","",0,0,0
38810,Generic,https://github.com/nya3jp/tast-tests.git,,,,1,,,,,,,244,4821,341,2986,13172,67,356,93147689,,,,,,,,"","","","",0,0,0
